"","patient_id","CD274","PDCD1"
"107","GSM1523865",4.60734681079466,4.84134351910677
"108","GSM1523866",5.8810849118508,6.64233857968133
"109","GSM1523867",5.38778531464503,4.19346106005648
"110","GSM1523868",9.15435796024075,0.966543188238103
"111","GSM1523869",5.22579053329305,4.87007981822349
"112","GSM1523870",6.10919896724031,5.7506995590632
"113","GSM1523871",5.98553220670907,4.86199326718946
"114","GSM1523872",5.96495237635274,3.8942430172823
"115","GSM1523873",6.44017104134809,7.97857899535242
"116","GSM1523874",5.85567770929532,6.09477930620287
"117","GSM1523875",4.48499556526807,2.35612712375036
"118","GSM1523876",6.5030747043242,4.5518364012539
"119","GSM1523877",2.59907383731003,2.67290705950793
"120","GSM1523878",6.18831406269482,4.01958980823731
"121","GSM1523879",4.23726403142738,3.5964349763174
"122","GSM1523880",6.19818934165108,5.26422772320103
"123","GSM1523881",4.00103288466364,3.46393441711045
"124","GSM1523882",5.65974279980186,5.39019516430447
"125","GSM1523883",6.13243141088104,5.57648226175952
"126","GSM1523884",4.4896145051709,4.7828296218752
"127","GSM1523885",7.25074798118281,4.54735828064989
"128","GSM1523886",7.74815974763381,4.45997009185943
"129","GSM1523887",8.46475345067271,7.85519738788115
"130","GSM1523888",7.40649005167898,5.2249409993759
"131","GSM1523889",3.98764788215438,3.89991964361321
"132","GSM1523890",4.5806211365138,4.07307921180393
"133","GSM1523891",6.07179478691534,3.52476789838977
"134","GSM1523892",5.06921979835731,7.56481393696796
"135","GSM1523893",4.1313034678836,3.95508722368908
"136","GSM1523894",4.08453874392784,6.98184176073071
"137","GSM1523895",4.46412497788139,5.51728616056741
"138","GSM1523896",6.08224860891391,4.68502159454073
"139","GSM1523897",4.06836611492106,6.76182376396079
"140","GSM1523898",4.64300754235412,3.4026793535343
"141","GSM1523899",4.09849694863451,4.39389756331728
"142","GSM1523901",5.99390944622735,3.2365371916533
"143","GSM1523903",3.74879056432322,2.5612465455668
"144","GSM1523904",4.7722974138802,3.49598634301674
"145","GSM1523905",4.0597747216521,2.40834651141087
"146","GSM1523906",8.52747331219892,6.22981459066722
"147","GSM1523908",7.34166003245099,5.08176385581116
"148","GSM1523909",7.80500699790205,2.33026400231328
"149","GSM1523910",8.26986171648052,5.55006137022227
"150","GSM1523911",5.33862320137076,5.28789608492118
"151","GSM1523918",4.44654564416511,5.35689624584828
"152","GSM1523919",5.18528101756249,5.93681459494058
"153","GSM1523920",5.33028257330039,5.09752857780992
"154","GSM1523921",6.30310144101366,6.48988061711016
"155","GSM1523922",7.10414384600491,3.28869900558373
"156","GSM1523923",5.03692484468075,4.53207588503129
"157","GSM1523924",4.73454162568813,6.21673826609115
"158","GSM1523925",4.4289514289754,4.33391860599175
"159","GSM1523926",1.02918558237709,5.40220735145476
"160","GSM1523927",5.63398042076931,3.39367858681285
"161","GSM1523928",5.3077607549932,5.87914586441412
"162","GSM1523929",6.39765038841003,5.4677249042223
"163","GSM1523930",4.8218326083409,4.97495327298207
"164","GSM1523931",6.49218319990187,7.55408461786386
"165","GSM1523932",5.24368406859398,6.3301933753843
"166","GSM1523933",5.89850727712886,6.72935239375287
"167","GSM1523934",3.96170313751007,5.92138652204336
"168","GSM1523935",6.09425156869433,6.07420882130862
"169","GSM1523936",4.34441519344223,5.4533698125169
"170","GSM1523937",6.03357956996063,6.17862818958499
"171","GSM1523938",2.9633999797503,6.78436158837124
"172","GSM1523939",3.88909111299918,7.91184526931272
"173","GSM1523940",3.13705704421886,5.05473668516304
"174","GSM1523941",7.12801788010129,6.25953883277573
"175","GSM1523942",4.6988778175828,7.12257417564475
"176","GSM1523943",5.67728457162276,3.86612551564116
"177","GSM1523944",12.0734849709118,6.32087437265435
"178","GSM1523945",6.11623759467327,2.67880652418953
"179","GSM1523946",5.41603104317188,5.5797013351541
"180","GSM1523947",5.79440135057563,4.80506386424288
"181","GSM1523948",4.11279474953266,5.90400316142922
"182","GSM1523949",4.0522497480954,5.14088579626291
"183","GSM1523950",4.98494851657168,6.20703392885733
"184","GSM1523951",7.96755674506062,5.9611780831767
"185","GSM1523952",5.45753727795595,3.55641426477473
"186","GSM1523953",2.12614488921082,3.11560183144116
"187","GSM1523954",4.68864295080371,7.2652019625391
"188","GSM1523955",3.55042746500482,7.82207488981434
"189","GSM1523956",5.97720201521492,3.4354943208504
"190","GSM1523957",4.35565015179947,4.66146167521034
"191","GSM1523958",6.94814143847709,7.43220947080658
"192","GSM1523959",3.42005787849913,6.2740548083169
"193","GSM1523960",1.84960814037596,7.50401674293484
"194","GSM1523961",5.33541349707135,1.84204885233281
"195","GSM1523962",3.97701147568705,3.70830492303787
"196","GSM1523963",4.97632096074516,5.00837637458626
"197","GSM1523964",5.27151670940962,5.65820311963784
"198","GSM1523965",6.67455795143322,3.98310321040389
"199","GSM1523966",5.16934138539111,6.70889215761853
"200","GSM1523967",5.86551564102519,7.01631014765754
"201","GSM1523968",3.06810765023052,5.46524176968628
"202","GSM1523969",3.58319924498292,3.7977926778655
"203","GSM1523970",2.79157185174152,2.79220737070199
"204","GSM1523971",3.8722663280115,8.33851261603381
"205","GSM1523972",3.71545580137191,5.29536799686202
"206","GSM1523973",4.07351012453452,7.15510556217863
"207","GSM1523974",4.12704503638441,0.181132805358099
"208","GSM1523975",5.77960965266742,4.3229474016873
"209","GSM1523976",4.4069011547649,6.26293919060705
"210","GSM1523977",3.65669462128005,4.40748663716328
"211","GSM1523978",5.5517044946894,5.99994893677201
"212","GSM1523979",6.46621962558681,6.38513881578722
"213","GSM1523980",5.8132563728506,3.040333212458
"214","GSM1523981",7.18417141294561,6.08173428779121
"215","GSM1523982",6.88965251509295,4.47387738900387
"216","GSM1523983",5.94344550571887,5.61577453871196
"217","GSM1523984",4.65180418900321,7.07200612678898
"218","GSM1523985",5.69394109790706,5.8116647029062
"219","GSM1523986",5.92793913968496,6.82963518587228
"220","GSM1523987",4.94884520460554,6.41793125940918
"221","GSM1523988",4.54772643566431,4.83143155521191
"222","GSM1523989",5.45410029304032,5.76457680540601
"223","GSM1523990",4.16558679653549,5.24837516220189
"224","GSM1523991",3.3491415508922,3.77726411594156
"225","GSM1523992",3.00742335558115,5.19511811891198
"226","GSM1523993",6.72323462464671,5.23051065442169
"227","GSM1523994",5.16537950110975,7.00581185675165
"228","GSM1523995",3.9328392390598,2.95646279934754
"229","GSM1523996",5.3606991476194,6.80537923088353
"230","GSM1523997",4.97346751191698,1.7334766010057
"231","GSM1523998",3.50486724295871,6.74290166433812
"232","GSM1523999",3.857617526833,4.54542722665504
"233","GSM1524000",5.33998230208767,5.68635201981501
"234","GSM1524001",4.66410906481511,5.21409235117439
"235","GSM1524002",8.66276730668652,8.83437867883272
"236","GSM1524003",3.33610921472052,6.79926372637997
"237","GSM1524004",5.53708485553833,5.66532524138694
"238","GSM1524005",4.35062575061776,5.94388638664303
"239","GSM1524006",3.79003654461775,4.82448601111657
"240","GSM1524007",5.7463627130816,4.4355472282727
"241","GSM1524008",6.2031817483232,5.55691619062604
"242","GSM1524009",5.15386860908048,3.40962555900432
"243","GSM1524010",4.70941171063988,6.14195728460515
"244","GSM1524011",4.2909394081065,7.18175589126096
